t,x,xdot,xddot,drag_aero,drag_hover,drag_ski,drag_brake,aerodrag_contribution,hoverdrag_contribution,skidrag_contribution,brakedrag_contribution,brakegap,Tload_brakes
0.53,0.2755629,1.03986,1.962,-0.000207152474363501,-0.00319717724188502,-0.0506331185900009,-0.00582994142689497,0.346018884883526,5.34043200503023,84.5754572158486,9.7380918942376,25,0.0480485239804381
0.54,0.2860596,1.05948,1.962,-0.000215196486866521,-0.00325291149114663,-0.0506291450587774,-0.00592410714980259,0.358533172519788,5.4195897611018,84.3518789000825,9.86999816629589,25,0.0479307929363608
0.55,0.2967525,1.0791,1.962,-0.000223393718655314,-0.00330844193351561,-0.0506251718393843,-0.00601766832020071,0.371242080894885,5.49806357721874,84.1303607480242,10.0003335938622,25,0.0478137558057475
0.56,0.3076416,1.09872,1.962,-0.000231744169729878,-0.00336376926675768,-0.0506211989317973,-0.00611062864514766,0.384144511985498,5.57586197278064,83.9108737123454,10.1291198028885,25,0.0476974123500969
0.57,0.3187269,1.11834,1.962,-0.000240247840090214,-0.00341889418626082,-0.0506172263359918,-0.00620299180901534,0.397239387800254,5.65299331304755,83.6933892696225,10.2563780295297,25,0.0475817622097877
0.58,0.3300084,1.13796,1.962,-0.000248904729736322,-0.00347381738504332,-0.0506132540519434,-0.00629476147362812,0.410525649898525,5.72946581262012,83.4778794085776,10.3821291289038,25,0.04746680490957
0.59,0.3414861,1.15758,1.962,-0.000257714838668201,-0.00352853955376193,-0.0506092820796277,-0.00638594127840101,0.424002258922137,5.8052875388264,83.2643166186358,10.5063935836157,25,0.0473525398637988
0.6,0.35316,1.1772,1.962,-0.000266678166885853,-0.00358306138071987,-0.0506053104190201,-0.00647653484047679,0.437668194139548,5.88046641501799,83.052673878788,10.6291915120544,25,0.0472389663814232
0.61,0.3650301,1.19682,1.962,-0.000275794714389276,-0.00363738355187492,-0.0506013390700961,-0.0065665457548625,0.451522453002143,5.95501022377851,82.842924646751,10.7505426764684,25,0.0471260836707442
0.62,0.3770964,1.21644,1.962,-0.000285064481178471,-0.00369150675084739,-0.0505973680328315,-0.00665597759456497,0.465564050712253,6.02892661004704,82.6350428484133,10.8704664908274,25,0.047013890843954
0.63,0.3893589,1.23606,1.962,-0.000294487467253438,-0.0037454316589281,-0.0505933973072016,-0.00674483391072555,0.479792019802539,6.10222308415914,82.4290028675616,10.9889820284768,25,0.0469023869214679
0.64,0.4018176,1.25568,1.962,-0.000304063672614177,-0.00379915895508636,-0.050589426893182,-0.00683311823275403,0.494205409726406,6.17490702480801,82.2247795358748,11.1061080295908,25,0.0467915708360602
0.65,0.4144725,1.2753,1.962,-0.000313793097260687,-0.00385268931597788,-0.0505854567907483,-0.00692083406846171,0.5088032864591,6.24698568192816,82.0223481231816,11.2218629084311,25,0.046681441436814
0.66,0.4273236,1.29492,1.962,-0.00032367574119297,-0.00390602341595265,-0.050581486999876,-0.0070079849041937,0.523584732109164,6.31846617950406,81.821684327971,11.3362647604158,25,0.0465719974928948
0.67,0.4403709,1.31454,1.962,-0.000333711604411024,-0.00395916192706284,-0.0505775175205406,-0.00709457420496037,0.538548844539957,6.38935551830588,81.6227642681484,11.4493313690058,25,0.0464632376971565
0.68,0.4536144,1.33416,1.962,-0.00034390068691485,-0.00401210551907066,-0.0505735483527178,-0.00718060541456795,0.553694737000912,6.45966057855469,81.4255644720313,11.5610802124131,25,0.0463551606695891
0.69,0.4670541,1.35378,1.962,-0.000354242988704448,-0.00406485485945611,-0.050569579496383,-0.00726608195574849,0.569021537768255,6.52938812251908,81.2300618695762,11.6715284701364,25,0.046247764960615
0.7,0.48069,1.3734,1.962,-0.000364738509779817,-0.00411741061342485,-0.0505656109515119,-0.00735100723028883,0.584528389794905,6.59854479704533,81.0362337838294,11.7806930293303,25,0.046141049054243
0.71,0.4945221,1.39302,1.962,-0.000375387250140959,-0.00416977344391592,-0.0505616427180799,-0.0074353846191589,0.600214450369273,6.66713713602311,80.8440579225965,11.8885904910111,25,0.0460350113710851
0.72,0.5085504,1.41264,1.962,-0.000386189209787872,-0.00422194401160946,-0.0505576747960627,-0.0075192174826392,0.616078890782713,6.73517156278859,80.6535123703231,11.9952371761056,25,0.0459296502712451
0.73,0.5227749,1.43226,1.962,-0.000397144388720557,-0.00427392297493449,-0.0505537071854358,-0.00760250916044748,0.632120896005351,6.80265439246681,80.4645755801803,12.1006491313475,25,0.0458249640570832
0.74,0.5371956,1.45188,1.962,-0.000408252786939014,-0.00432571099007654,-0.0505497398861747,-0.00768526297186471,0.648339664370066,6.86959183425507,80.2772263663504,12.2048421350245,25,0.0457209509758641
0.75,0.551812499999999,1.4715,1.962,-0.000419514404443243,-0.0043773087109853,-0.0505457728982551,-0.00776748221586018,0.664734407264377,6.93598999364913,80.0914438965043,12.3078317025821,25,0.0456176092222935
0.76,0.5666256,1.49112,1.962,-0.000430929241233244,-0.0044287167893823,-0.0505418062216525,-0.00784917017121589,0.681304348830007,7.00185487461384,79.9072076844688,12.4096330920874,25,0.0455149369409487
0.77,0.5816349,1.51074,1.962,-0.000442497297309016,-0.00447993587476849,-0.0505378398563424,-0.00793033009665022,0.6980487256699,7.06719238169976,79.7244975830737,12.5102613095566,25,0.0454129322286077
0.78,0.596840399999999,1.53036,1.962,-0.00045421857267056,-0.0045309666144318,-0.0505338738023005,-0.00801096523094073,0.714966786562487,7.13200832210748,79.5432937771784,12.6097311141516,25,0.0453115931364825
0.79,0.612242099999999,1.54998,1.962,-0.000466093067317876,-0.00458180965345475,-0.0505299080595023,-0.0080910787930463,0.732057792182983,7.19630840770095,79.3635767768683,12.7080570232478,25,0.0452109176723603
