t,x,xdot,xddot,drag_aero,drag_hover,drag_brake,drag_ski,brakegap,Fload_brakes
1.53,3.9652290785753,3.29010830530751,-1.20692702324438,-0.00205040118633214,-0.0616090351458642,-0.0126109192658571,-0.0467599220007617,25,-28.7011934058236
1.54,3.99806991343873,3.27805866737705,-1.20496379304523,-0.00203544037863232,-0.0614468584426737,-0.0125856738871538,-0.0467621794877924,25,-28.651513587768
1.55,4.03079035013435,3.26602867174664,-1.20299956304165,-0.00202055855412849,-0.0612845683103158,-0.0125603646009439,-0.0467644334114366,25,-28.6016551672372
1.56,4.06339058513463,3.25401832831005,-1.20103434365879,-0.00200575545820945,-0.0611221659315788,-0.0125349915441546,-0.0467666837692981,25,-28.5516185854599
1.57,4.09587081501046,3.24202764685636,-1.19906814536873,-0.00199103083639064,-0.0609596524922018,-0.0125095548553967,-0.046768930559001,25,-28.5014042885986
1.58,4.12823123643009,3.23005663706946,-1.19710097869017,-0.00197638443431664,-0.0607970291808459,-0.0124840546749638,-0.046771173778189,25,-28.451012727744
1.59,4.16047204615808,3.21810530852758,-1.19513285418818,-0.00196181599776369,-0.0606342971890643,-0.0124584911448315,-0.0467734134245264,25,-28.4004443589103
1.6,4.19259344105423,3.20617367070284,-1.19316378247392,-0.00194732527264226,-0.0604714577112728,-0.0124328644086565,-0.0467756494956975,25,-28.3496996430299
1.61,4.22459561807255,3.19426173296079,-1.19119377420434,-0.00193291200499951,-0.0603085119447195,-0.0124071746117752,-0.0467778819894069,25,-28.2987790459473
1.62,4.25647877426015,3.18236950455998,-1.18922284008194,-0.00191857594102189,-0.0601454610894554,-0.0123814219012028,-0.0467801109033797,25,-28.2476830384132
1.63,4.28824310675621,3.17049699465143,-1.18725099085444,-0.00190431682703765,-0.0599823063483034,-0.0123556064256319,-0.0467823362353615,25,-28.1964120960785
1.64,4.31988881279086,3.15864421227829,-1.18527823731454,-0.00189013440951939,-0.0598190489268283,-0.0123297283354311,-0.0467845579831185,25,-28.1449666994879
1.65,4.35141608968412,3.14681116637529,-1.1833045902996,-0.0018760284350866,-0.0596556900333063,-0.0123037877826436,-0.0467867761444377,25,-28.0933473340726
1.66,4.38282513484484,3.13499786576838,-1.18133006069135,-0.00186199865050823,-0.0594922308786937,-0.0122777849209856,-0.0467889907171266,25,-28.0415544901439
1.67,4.41411614576956,3.12320431917422,-1.17935465941561,-0.00184804480270522,-0.0593286726765965,-0.0122517199058446,-0.0467912016990139,25,-27.9895886628853
1.68,4.44528932004143,3.1114305351998,-1.17737839744199,-0.00183416663875307,-0.0591650166432389,-0.0122255928942779,-0.0467934090879492,25,-27.9374503523458
1.69,4.47634485532913,3.09967652234196,-1.17540128578357,-0.00182036390588441,-0.0590012639974323,-0.0121994040450103,-0.0467956128818028,25,-27.885140063431
1.7,4.50728294938578,3.087942288987,-1.17342333549665,-0.00180663635149157,-0.0588374159605436,-0.0121731535184325,-0.0467978130784667,25,-27.8326583058959
1.71,4.53810380004777,3.07622784341019,-1.17144455768036,-0.00179298372312912,-0.0586734737564634,-0.012146841476599,-0.0468000096758538,25,-27.7800055943362
1.72,4.56880760523369,3.06453319377543,-1.16946496347646,-0.00177940576851647,-0.0585094386115749,-0.0121204680832259,-0.0468022026718982,25,-27.7271824481796
